pos[0] = 22.824442	pos[1] = 106.974133	pos[2] = 25.525805
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.646681

pos[0] = -100.270889	pos[1] = 65.851616	pos[2] = 48.760637
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.646681

pos[0] = -100.270889	pos[1] = 65.851616	pos[2] = 48.760637
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.646681

pos[0] = -100.249969	pos[1] = 65.818878	pos[2] = 48.722649
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.646273

pos[0] = -100.249969	pos[1] = 65.818878	pos[2] = 48.722649
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.646273

pos[0] = -100.249969	pos[1] = 65.818878	pos[2] = 48.722649
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.646273

pos[0] = -100.249969	pos[1] = 65.818878	pos[2] = 48.722649
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.646273

pos[0] = -100.249969	pos[1] = 65.818878	pos[2] = 48.722649
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.646273

pos[0] = -100.229042	pos[1] = 65.786171	pos[2] = 48.684634
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645866

pos[0] = -100.229042	pos[1] = 65.786171	pos[2] = 48.684634
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645866

pos[0] = -100.229042	pos[1] = 65.786171	pos[2] = 48.684634
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645866

pos[0] = -100.229042	pos[1] = 65.786171	pos[2] = 48.684634
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645866

pos[0] = -100.229042	pos[1] = 65.786171	pos[2] = 48.684634
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645866

pos[0] = -100.229042	pos[1] = 65.786171	pos[2] = 48.684634
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645866

pos[0] = -100.229042	pos[1] = 65.786171	pos[2] = 48.684634
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645866

pos[0] = -100.229042	pos[1] = 65.786171	pos[2] = 48.684634
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645866

pos[0] = -100.208107	pos[1] = 65.753471	pos[2] = 48.646620
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645458

pos[0] = -100.208107	pos[1] = 65.753471	pos[2] = 48.646620
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645458

pos[0] = -100.208107	pos[1] = 65.753471	pos[2] = 48.646620
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645458

pos[0] = -100.208107	pos[1] = 65.753471	pos[2] = 48.646620
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645458

pos[0] = -100.208107	pos[1] = 65.753471	pos[2] = 48.646620
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645458

pos[0] = -100.208107	pos[1] = 65.753471	pos[2] = 48.646620
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645458

pos[0] = -100.208107	pos[1] = 65.753471	pos[2] = 48.646620
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645458

pos[0] = -100.208107	pos[1] = 65.753471	pos[2] = 48.646620
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645458

pos[0] = -100.208107	pos[1] = 65.753471	pos[2] = 48.646620
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645458

pos[0] = -100.208107	pos[1] = 65.753471	pos[2] = 48.646620
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645458

pos[0] = -100.208107	pos[1] = 65.753471	pos[2] = 48.646620
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645458

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.187172	pos[1] = 65.720787	pos[2] = 48.608592
angle[0] = 0.503307	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.261986	pos[1] = 65.720787	pos[2] = 48.567378
angle[0] = 0.503718	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.261986	pos[1] = 65.720787	pos[2] = 48.567378
angle[0] = 0.503718	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.261986	pos[1] = 65.720787	pos[2] = 48.567378
angle[0] = 0.503718	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.261986	pos[1] = 65.720787	pos[2] = 48.567378
angle[0] = 0.503718	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.261986	pos[1] = 65.720787	pos[2] = 48.567378
angle[0] = 0.503718	angle[1] = 0.296227	angle[2] = 0.645051

pos[0] = -100.282944	pos[1] = 65.753471	pos[2] = 48.605397
angle[0] = 0.503718	angle[1] = 0.296227	angle[2] = 0.645458

pos[0] = -100.282944	pos[1] = 65.753471	pos[2] = 48.605397
angle[0] = 0.503718	angle[1] = 0.296227	angle[2] = 0.645458

pos[0] = -100.282944	pos[1] = 65.753471	pos[2] = 48.605397
angle[0] = 0.503718	angle[1] = 0.296227	angle[2] = 0.645458

pos[0] = -100.282944	pos[1] = 65.753471	pos[2] = 48.605397
angle[0] = 0.503718	angle[1] = 0.296227	angle[2] = 0.645458

pos[0] = -100.282944	pos[1] = 65.753471	pos[2] = 48.605397
angle[0] = 0.503718	angle[1] = 0.296227	angle[2] = 0.645458

pos[0] = -100.282944	pos[1] = 65.753471	pos[2] = 48.605397
angle[0] = 0.503718	angle[1] = 0.296227	angle[2] = 0.645458

pos[0] = -100.350075	pos[1] = 65.805508	pos[2] = 48.550223
angle[0] = 0.504129	angle[1] = 0.296635	angle[2] = 0.645458

pos[0] = -100.350075	pos[1] = 65.805508	pos[2] = 48.550223
angle[0] = 0.504129	angle[1] = 0.296635	angle[2] = 0.645458

pos[0] = -100.350075	pos[1] = 65.805508	pos[2] = 48.550223
angle[0] = 0.504129	angle[1] = 0.296635	angle[2] = 0.645458

pos[0] = -100.350075	pos[1] = 65.805508	pos[2] = 48.550223
angle[0] = 0.504129	angle[1] = 0.296635	angle[2] = 0.645458

pos[0] = -100.350075	pos[1] = 65.805508	pos[2] = 48.550223
angle[0] = 0.504129	angle[1] = 0.296635	angle[2] = 0.645458

pos[0] = -100.350075	pos[1] = 65.805508	pos[2] = 48.550223
angle[0] = 0.504129	angle[1] = 0.296635	angle[2] = 0.645458

pos[0] = -100.371048	pos[1] = 65.838207	pos[2] = 48.588234
angle[0] = 0.504129	angle[1] = 0.296635	angle[2] = 0.645866

pos[0] = -100.371048	pos[1] = 65.838207	pos[2] = 48.588234
angle[0] = 0.504129	angle[1] = 0.296635	angle[2] = 0.645866

pos[0] = -100.363358	pos[1] = 65.890236	pos[2] = 48.574299
angle[0] = 0.504129	angle[1] = 0.297043	angle[2] = 0.645866

pos[0] = -100.363358	pos[1] = 65.890236	pos[2] = 48.574299
angle[0] = 0.504129	angle[1] = 0.297043	angle[2] = 0.645866

pos[0] = -100.363358	pos[1] = 65.890236	pos[2] = 48.574299
angle[0] = 0.504129	angle[1] = 0.297043	angle[2] = 0.645866

pos[0] = -100.363358	pos[1] = 65.890236	pos[2] = 48.574299
angle[0] = 0.504129	angle[1] = 0.297043	angle[2] = 0.645866

pos[0] = -100.363358	pos[1] = 65.890236	pos[2] = 48.574299
angle[0] = 0.504129	angle[1] = 0.297043	angle[2] = 0.645866

pos[0] = -100.451416	pos[1] = 65.974972	pos[2] = 48.557049
angle[0] = 0.504541	angle[1] = 0.297451	angle[2] = 0.646273

pos[0] = -100.451416	pos[1] = 65.974972	pos[2] = 48.557049
angle[0] = 0.504541	angle[1] = 0.297451	angle[2] = 0.646273

pos[0] = -100.451416	pos[1] = 65.974972	pos[2] = 48.557049
angle[0] = 0.504541	angle[1] = 0.297451	angle[2] = 0.646273

pos[0] = -100.451416	pos[1] = 65.974972	pos[2] = 48.557049
angle[0] = 0.504541	angle[1] = 0.297451	angle[2] = 0.646273

pos[0] = -100.443703	pos[1] = 66.026989	pos[2] = 48.543077
angle[0] = 0.504541	angle[1] = 0.297859	angle[2] = 0.646273

pos[0] = -100.443703	pos[1] = 66.026989	pos[2] = 48.543077
angle[0] = 0.504541	angle[1] = 0.297859	angle[2] = 0.646273

pos[0] = -100.443703	pos[1] = 66.026989	pos[2] = 48.543077
angle[0] = 0.504541	angle[1] = 0.297859	angle[2] = 0.646273

pos[0] = -100.435982	pos[1] = 66.079002	pos[2] = 48.529092
angle[0] = 0.504541	angle[1] = 0.298267	angle[2] = 0.646273

pos[0] = -100.435982	pos[1] = 66.079002	pos[2] = 48.529092
angle[0] = 0.504541	angle[1] = 0.298267	angle[2] = 0.646273

pos[0] = -100.456940	pos[1] = 66.111740	pos[2] = 48.567054
angle[0] = 0.504541	angle[1] = 0.298267	angle[2] = 0.646681

pos[0] = -100.449211	pos[1] = 66.163746	pos[2] = 48.553055
angle[0] = 0.504541	angle[1] = 0.298675	angle[2] = 0.646681

pos[0] = -100.449211	pos[1] = 66.163746	pos[2] = 48.553055
angle[0] = 0.504541	angle[1] = 0.298675	angle[2] = 0.646681

pos[0] = -100.441467	pos[1] = 66.215744	pos[2] = 48.539029
angle[0] = 0.504541	angle[1] = 0.299083	angle[2] = 0.646681

pos[0] = -100.516251	pos[1] = 66.215744	pos[2] = 48.497711
angle[0] = 0.504952	angle[1] = 0.299083	angle[2] = 0.646681

pos[0] = -100.516251	pos[1] = 66.215744	pos[2] = 48.497711
angle[0] = 0.504952	angle[1] = 0.299083	angle[2] = 0.646681

pos[0] = -100.508484	pos[1] = 66.267735	pos[2] = 48.483663
angle[0] = 0.504952	angle[1] = 0.299491	angle[2] = 0.646681

pos[0] = -100.529465	pos[1] = 66.300480	pos[2] = 48.521616
angle[0] = 0.504952	angle[1] = 0.299491	angle[2] = 0.647088

pos[0] = -100.521690	pos[1] = 66.352467	pos[2] = 48.507554
angle[0] = 0.504952	angle[1] = 0.299899	angle[2] = 0.647088

pos[0] = -100.521690	pos[1] = 66.352467	pos[2] = 48.507554
angle[0] = 0.504952	angle[1] = 0.299899	angle[2] = 0.647088

pos[0] = -100.513916	pos[1] = 66.404442	pos[2] = 48.493478
angle[0] = 0.504952	angle[1] = 0.300307	angle[2] = 0.647088

pos[0] = -100.513916	pos[1] = 66.404442	pos[2] = 48.493478
angle[0] = 0.504952	angle[1] = 0.300307	angle[2] = 0.647088

pos[0] = -100.527100	pos[1] = 66.489185	pos[2] = 48.517329
angle[0] = 0.504952	angle[1] = 0.300715	angle[2] = 0.647496

pos[0] = -100.519295	pos[1] = 66.541145	pos[2] = 48.503213
angle[0] = 0.504952	angle[1] = 0.301123	angle[2] = 0.647496

pos[0] = -100.519295	pos[1] = 66.541145	pos[2] = 48.503213
angle[0] = 0.504952	angle[1] = 0.301123	angle[2] = 0.647496

pos[0] = -100.586235	pos[1] = 66.593109	pos[2] = 48.447730
angle[0] = 0.505363	angle[1] = 0.301531	angle[2] = 0.647496

pos[0] = -100.586235	pos[1] = 66.593109	pos[2] = 48.447730
angle[0] = 0.505363	angle[1] = 0.301531	angle[2] = 0.647496

pos[0] = -100.578407	pos[1] = 66.645061	pos[2] = 48.433591
angle[0] = 0.505363	angle[1] = 0.301939	angle[2] = 0.647496

pos[0] = -100.591545	pos[1] = 66.729786	pos[2] = 48.457330
angle[0] = 0.505363	angle[1] = 0.302347	angle[2] = 0.647903

pos[0] = -100.591545	pos[1] = 66.729786	pos[2] = 48.457330
angle[0] = 0.505363	angle[1] = 0.302347	angle[2] = 0.647903

pos[0] = -100.583694	pos[1] = 66.781723	pos[2] = 48.443151
angle[0] = 0.505363	angle[1] = 0.302755	angle[2] = 0.647903

pos[0] = -100.575836	pos[1] = 66.833656	pos[2] = 48.428945
angle[0] = 0.505363	angle[1] = 0.303163	angle[2] = 0.647903

pos[0] = -100.650581	pos[1] = 66.833656	pos[2] = 48.387571
angle[0] = 0.505774	angle[1] = 0.303163	angle[2] = 0.647903

pos[0] = -100.663696	pos[1] = 66.918392	pos[2] = 48.411251
angle[0] = 0.505774	angle[1] = 0.303571	angle[2] = 0.648311

pos[0] = -100.663696	pos[1] = 66.918392	pos[2] = 48.411251
angle[0] = 0.505774	angle[1] = 0.303571	angle[2] = 0.648311

pos[0] = -100.676788	pos[1] = 67.003128	pos[2] = 48.434892
angle[0] = 0.505774	angle[1] = 0.303979	angle[2] = 0.648718

pos[0] = -100.668892	pos[1] = 67.055046	pos[2] = 48.420635
angle[0] = 0.505774	angle[1] = 0.304388	angle[2] = 0.648718

pos[0] = -100.689873	pos[1] = 67.087879	pos[2] = 48.458518
angle[0] = 0.505774	angle[1] = 0.304388	angle[2] = 0.649126

pos[0] = -100.756714	pos[1] = 67.139786	pos[2] = 48.402831
angle[0] = 0.506185	angle[1] = 0.304796	angle[2] = 0.649126

pos[0] = -100.748795	pos[1] = 67.191685	pos[2] = 48.388538
angle[0] = 0.506185	angle[1] = 0.305204	angle[2] = 0.649126

pos[0] = -100.769768	pos[1] = 67.224545	pos[2] = 48.426373
angle[0] = 0.506185	angle[1] = 0.305204	angle[2] = 0.649533

pos[0] = -100.836571	pos[1] = 67.276432	pos[2] = 48.370617
angle[0] = 0.506597	angle[1] = 0.305612	angle[2] = 0.649533

pos[0] = -100.849625	pos[1] = 67.361195	pos[2] = 48.394139
angle[0] = 0.506597	angle[1] = 0.306020	angle[2] = 0.649940

pos[0] = -100.841667	pos[1] = 67.413071	pos[2] = 48.379796
angle[0] = 0.506597	angle[1] = 0.306428	angle[2] = 0.649940

pos[0] = -100.862648	pos[1] = 67.445961	pos[2] = 48.417608
angle[0] = 0.506597	angle[1] = 0.306428	angle[2] = 0.650348

pos[0] = -100.929413	pos[1] = 67.497833	pos[2] = 48.361764
angle[0] = 0.507008	angle[1] = 0.306836	angle[2] = 0.650348

pos[0] = -100.921425	pos[1] = 67.549698	pos[2] = 48.347384
angle[0] = 0.507008	angle[1] = 0.307244	angle[2] = 0.650348

pos[0] = -100.942421	pos[1] = 67.582603	pos[2] = 48.385187
angle[0] = 0.507008	angle[1] = 0.307244	angle[2] = 0.650755

pos[0] = -101.009132	pos[1] = 67.634468	pos[2] = 48.329280
angle[0] = 0.507419	angle[1] = 0.307652	angle[2] = 0.650755

pos[0] = -101.022125	pos[1] = 67.719250	pos[2] = 48.352645
angle[0] = 0.507419	angle[1] = 0.308060	angle[2] = 0.651163

pos[0] = -101.035095	pos[1] = 67.804039	pos[2] = 48.375983
angle[0] = 0.507419	angle[1] = 0.308468	angle[2] = 0.651570

pos[0] = -101.035095	pos[1] = 67.804039	pos[2] = 48.375983
angle[0] = 0.507419	angle[1] = 0.308468	angle[2] = 0.651570

pos[0] = -101.122780	pos[1] = 67.888832	pos[2] = 48.357714
angle[0] = 0.507830	angle[1] = 0.308876	angle[2] = 0.651978

pos[0] = -101.114738	pos[1] = 67.940659	pos[2] = 48.343261
angle[0] = 0.507830	angle[1] = 0.309284	angle[2] = 0.651978

pos[0] = -101.202393	pos[1] = 68.025463	pos[2] = 48.324913
angle[0] = 0.508241	angle[1] = 0.309692	angle[2] = 0.652385

pos[0] = -101.215332	pos[1] = 68.110283	pos[2] = 48.348134
angle[0] = 0.508241	angle[1] = 0.310100	angle[2] = 0.652793

pos[0] = -101.215332	pos[1] = 68.110283	pos[2] = 48.348134
angle[0] = 0.508241	angle[1] = 0.310100	angle[2] = 0.652793

pos[0] = -101.302963	pos[1] = 68.195114	pos[2] = 48.329687
angle[0] = 0.508653	angle[1] = 0.310508	angle[2] = 0.653200

pos[0] = -101.315872	pos[1] = 68.279945	pos[2] = 48.352836
angle[0] = 0.508653	angle[1] = 0.310916	angle[2] = 0.653608

pos[0] = -101.307770	pos[1] = 68.331741	pos[2] = 48.338296
angle[0] = 0.508653	angle[1] = 0.311324	angle[2] = 0.653608

pos[0] = -101.395363	pos[1] = 68.416584	pos[2] = 48.319726
angle[0] = 0.509064	angle[1] = 0.311732	angle[2] = 0.654015

pos[0] = -101.387222	pos[1] = 68.468365	pos[2] = 48.305136
angle[0] = 0.509064	angle[1] = 0.312140	angle[2] = 0.654015

pos[0] = -101.400085	pos[1] = 68.553211	pos[2] = 48.328186
angle[0] = 0.509064	angle[1] = 0.312548	angle[2] = 0.654423

pos[0] = -101.487640	pos[1] = 68.638069	pos[2] = 48.309499
angle[0] = 0.509475	angle[1] = 0.312956	angle[2] = 0.654830

pos[0] = -101.500473	pos[1] = 68.722939	pos[2] = 48.332478
angle[0] = 0.509475	angle[1] = 0.313364	angle[2] = 0.655238

pos[0] = -101.566986	pos[1] = 68.774696	pos[2] = 48.276074
angle[0] = 0.509886	angle[1] = 0.313772	angle[2] = 0.655238

pos[0] = -101.579811	pos[1] = 68.859570	pos[2] = 48.299007
angle[0] = 0.509886	angle[1] = 0.314180	angle[2] = 0.655645

pos[0] = -101.592621	pos[1] = 68.944447	pos[2] = 48.321914
angle[0] = 0.509886	angle[1] = 0.314588	angle[2] = 0.656053

pos[0] = -101.659088	pos[1] = 68.996181	pos[2] = 48.265423
angle[0] = 0.510297	angle[1] = 0.314996	angle[2] = 0.656053

pos[0] = -101.671875	pos[1] = 69.081062	pos[2] = 48.288271
angle[0] = 0.510297	angle[1] = 0.315404	angle[2] = 0.656460

pos[0] = -101.759346	pos[1] = 69.165962	pos[2] = 48.269263
angle[0] = 0.510709	angle[1] = 0.315812	angle[2] = 0.656868

pos[0] = -101.772110	pos[1] = 69.250870	pos[2] = 48.292053
angle[0] = 0.510709	angle[1] = 0.316220	angle[2] = 0.657275

pos[0] = -101.763832	pos[1] = 69.302582	pos[2] = 48.277277
angle[0] = 0.510709	angle[1] = 0.316628	angle[2] = 0.657275

pos[0] = -101.851257	pos[1] = 69.387486	pos[2] = 48.258146
angle[0] = 0.511120	angle[1] = 0.317036	angle[2] = 0.657683

pos[0] = -101.863983	pos[1] = 69.472412	pos[2] = 48.280838
angle[0] = 0.511120	angle[1] = 0.317444	angle[2] = 0.658090

pos[0] = -101.943047	pos[1] = 69.609016	pos[2] = 48.246764
angle[0] = 0.511531	angle[1] = 0.318260	angle[2] = 0.658498

pos[0] = -101.955750	pos[1] = 69.693954	pos[2] = 48.269384
